Notes,Race,Race Code,Cause of death,Cause of death Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,Male,M,45-54 years,45-54,12,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,Male,M,55-64 years,55-64,19,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,Male,M,65-74 years,65-74,19,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,Male,M,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Female,F,45-54 years,45-54,13,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Female,F,55-64 years,55-64,21,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Female,F,65-74 years,65-74,29,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Female,F,75-84 years,75-84,20,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Female,F,85+ years,85+,15,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Male,M,45-54 years,45-54,28,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Male,M,55-64 years,55-64,45,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Male,M,65-74 years,65-74,59,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Male,M,75-84 years,75-84,33,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,Male,M,85+ years,85+,12,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,55-64 years,55-64,16,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,65-74 years,65-74,34,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,75-84 years,75-84,20,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,45-54 years,45-54,15,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,55-64 years,55-64,132,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,65-74 years,65-74,120,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,75-84 years,75-84,54,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,85+ years,85+,24,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,45-54 years,45-54,21,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,55-64 years,55-64,29,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,65-74 years,65-74,51,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,75-84 years,75-84,35,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,85+ years,85+,13,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Male,M,55-64 years,55-64,51,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Male,M,65-74 years,65-74,57,Not Applicable,Not Applicable
,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Male,M,75-84 years,75-84,44,Not Applicable,Not Applicable
,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,Female,F,55-64 years,55-64,15,Not Applicable,Not Applicable
,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,Female,F,65-74 years,65-74,23,Not Applicable,Not Applicable
,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,Female,F,75-84 years,75-84,21,Not Applicable,Not Applicable
,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,Male,M,55-64 years,55-64,31,Not Applicable,Not Applicable
,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,Male,M,65-74 years,65-74,61,Not Applicable,Not Applicable
,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,Male,M,75-84 years,75-84,31,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of gallbladder,C23,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,35-44 years,35-44,11,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,45-54 years,45-54,47,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,55-64 years,55-64,155,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,65-74 years,65-74,240,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,75-84 years,75-84,175,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,85+ years,85+,66,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,35-44 years,35-44,14,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,45-54 years,45-54,66,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,55-64 years,55-64,231,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,65-74 years,65-74,334,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,75-84 years,75-84,213,Not Applicable,Not Applicable
,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,85+ years,85+,52,Not Applicable,Not Applicable
,White,2106-3,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,Female,F,75-84 years,75-84,11,Not Applicable,Not Applicable
,White,2106-3,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,Male,M,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,"Larynx, unspecified - Malignant neoplasms",C32.9,Male,M,55-64 years,55-64,38,Not Applicable,Not Applicable
,White,2106-3,"Larynx, unspecified - Malignant neoplasms",C32.9,Male,M,65-74 years,65-74,59,Not Applicable,Not Applicable
,White,2106-3,"Larynx, unspecified - Malignant neoplasms",C32.9,Male,M,75-84 years,75-84,27,Not Applicable,Not Applicable
,White,2106-3,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,35-44 years,35-44,38,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,45-54 years,45-54,215,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,55-64 years,55-64,820,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,65-74 years,65-74,1136,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,75-84 years,75-84,870,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,85+ years,85+,252,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,35-44 years,35-44,21,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,45-54 years,45-54,242,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,55-64 years,55-64,1126,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,65-74 years,65-74,1612,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,75-84 years,75-84,1126,Not Applicable,Not Applicable
,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,85+ years,85+,337,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,35-44 years,35-44,13,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,45-54 years,45-54,21,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,55-64 years,55-64,33,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,65-74 years,65-74,26,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,75-84 years,75-84,33,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,85+ years,85+,19,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,35-44 years,35-44,13,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,45-54 years,45-54,23,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,55-64 years,55-64,69,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,65-74 years,65-74,71,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,75-84 years,75-84,71,Not Applicable,Not Applicable
,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,85+ years,85+,24,Not Applicable,Not Applicable
,White,2106-3,Skin of scalp and neck - Malignant neoplasms,C44.4,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,Skin of scalp and neck - Malignant neoplasms,C44.4,Male,M,65-74 years,65-74,12,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,Male,M,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,Male,M,85+ years,85+,15,Not Applicable,Not Applicable
,White,2106-3,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,Male,M,65-74 years,65-74,18,Not Applicable,Not Applicable
,White,2106-3,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,Male,M,75-84 years,75-84,25,Not Applicable,Not Applicable
,White,2106-3,"Peritoneum, unspecified - Malignant neoplasms",C48.2,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Female,F,35-44 years,35-44,10,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Female,F,45-54 years,45-54,15,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Female,F,55-64 years,55-64,23,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Female,F,65-74 years,65-74,23,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Female,F,75-84 years,75-84,11,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Male,M,35-44 years,35-44,10,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Male,M,45-54 years,45-54,17,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Male,M,55-64 years,55-64,21,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Male,M,65-74 years,65-74,26,Not Applicable,Not Applicable
,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,25-34 years,25-34,30,Not Applicable,Not Applicable
,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,35-44 years,35-44,109,Not Applicable,Not Applicable
,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,45-54 years,45-54,236,Not Applicable,Not Applicable
,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,55-64 years,55-64,417,Not Applicable,Not Applicable
,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,65-74 years,65-74,446,Not Applicable,Not Applicable
,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,75-84 years,75-84,307,Not Applicable,Not Applicable
,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,85+ years,85+,137,Not Applicable,Not Applicable
,White,2106-3,"Vulva, unspecified - Malignant neoplasms",C51.9,Female,F,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,"Vulva, unspecified - Malignant neoplasms",C51.9,Female,F,75-84 years,75-84,15,Not Applicable,Not Applicable
,White,2106-3,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,35-44 years,35-44,22,Not Applicable,Not Applicable
,White,2106-3,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,45-54 years,45-54,36,Not Applicable,Not Applicable
,White,2106-3,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,55-64 years,55-64,34,Not Applicable,Not Applicable
,White,2106-3,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,65-74 years,65-74,30,Not Applicable,Not Applicable
,White,2106-3,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,75-84 years,75-84,15,Not Applicable,Not Applicable
,White,2106-3,Endometrium - Malignant neoplasms,C54.1,Female,F,45-54 years,45-54,22,Not Applicable,Not Applicable
,White,2106-3,Endometrium - Malignant neoplasms,C54.1,Female,F,55-64 years,55-64,62,Not Applicable,Not Applicable
,White,2106-3,Endometrium - Malignant neoplasms,C54.1,Female,F,65-74 years,65-74,105,Not Applicable,Not Applicable
,White,2106-3,Endometrium - Malignant neoplasms,C54.1,Female,F,75-84 years,75-84,51,Not Applicable,Not Applicable
,White,2106-3,Endometrium - Malignant neoplasms,C54.1,Female,F,85+ years,85+,20,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,45-54 years,45-54,16,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,55-64 years,55-64,45,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,65-74 years,65-74,53,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,75-84 years,75-84,34,Not Applicable,Not Applicable
,White,2106-3,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of ovary,C56,Female,F,35-44 years,35-44,18,Not Applicable,Not Applicable
